iteration,successor,predecessor,p_binary,s_mod_k,alpha_i
1,1,3,11,1,4
1,1,51,110011,1,8
2,3,1,1,3,1
2,3,19,10011,3,5
2,51,163,10100011,1,4
2,51,2611,101000110011,1,8
3,19,15,1111,4,2
3,19,243,11110011,4,6
3,163,65,1000001,3,1
3,163,1043,10000010011,3,5
3,2611,8355,10000010100011,1,4
3,2611,133683,100000101000110011,1,8
4,243,97,1100001,3,1
4,243,1555,11000010011,3,5
4,1043,417,110100001,3,1
4,1043,6675,1101000010011,3,5
4,133683,53473,1101000011100001,3,1
4,133683,855571,11010000111000010011,3,5
5,97,155,10011011,2,3
5,97,2483,100110110011,2,7
5,417,667,1010011011,2,3
5,417,10675,10100110110011,2,7
5,53473,21389,101001110001101,3,1
5,53473,342227,1010011100011010011,3,5
5,855571,2737827,1010011100011010100011,1,4
5,855571,43805235,10100111000110101000110011,1,8
